timestamp,host,user,source_ip,auth_method,status,session_duration_sec,failed_attempts,event_type,severity,os,location
2024-03-03 08:00:01,web-server-01,john.doe,192.168.1.10,PASSWORD,SUCCESS,3600,0,NORMAL,LOW,Linux,Office
2024-03-03 08:01:30,db-server-01,db_admin,192.168.1.20,SSH_KEY,SUCCESS,7200,0,NORMAL,LOW,Linux,Office
2024-03-03 08:02:15,web-server-02,jane.smith,192.168.1.30,PASSWORD,SUCCESS,1800,0,NORMAL,LOW,Windows,Office
2024-03-03 08:03:00,admin-panel,root,203.0.113.42,PASSWORD,FAILURE,0,1,BRUTE_FORCE,MEDIUM,Linux,Unknown
2024-03-03 08:03:05,admin-panel,root,203.0.113.42,PASSWORD,FAILURE,0,2,BRUTE_FORCE,MEDIUM,Linux,Unknown
2024-03-03 08:03:10,admin-panel,root,203.0.113.42,PASSWORD,FAILURE,0,3,BRUTE_FORCE,HIGH,Linux,Unknown
2024-03-03 08:03:15,admin-panel,root,203.0.113.42,PASSWORD,FAILURE,0,4,BRUTE_FORCE,HIGH,Linux,Unknown
2024-03-03 08:03:20,admin-panel,root,203.0.113.42,PASSWORD,FAILURE,0,5,BRUTE_FORCE,HIGH,Linux,Unknown
2024-03-03 08:03:25,admin-panel,root,203.0.113.42,PASSWORD,FAILURE,0,6,BRUTE_FORCE,HIGH,Linux,Unknown
2024-03-03 08:03:30,admin-panel,root,203.0.113.42,PASSWORD,SUCCESS,900,6,BRUTE_FORCE,CRITICAL,Linux,Unknown
2024-03-03 08:05:00,app-server-01,app_user,192.168.2.5,TOKEN,SUCCESS,5400,0,NORMAL,LOW,Linux,Office
2024-03-03 08:06:30,win-workstation-05,mike.johnson,10.0.0.15,KERBEROS,SUCCESS,28800,0,NORMAL,LOW,Windows,Office
2024-03-03 08:07:00,file-server-01,ANONYMOUS,198.51.100.7,ANONYMOUS,FAILURE,0,1,UNAUTHORIZED_ACCESS,HIGH,Windows,Unknown
2024-03-03 08:08:15,db-server-02,postgres,10.10.10.5,PASSWORD,FAILURE,0,1,ANOMALY,MEDIUM,Linux,Internal
2024-03-03 08:08:20,db-server-02,postgres,10.10.10.5,PASSWORD,FAILURE,0,2,ANOMALY,MEDIUM,Linux,Internal
2024-03-03 08:08:25,db-server-02,postgres,10.10.10.5,PASSWORD,FAILURE,0,3,ANOMALY,HIGH,Linux,Internal
2024-03-03 08:09:00,win-workstation-12,sarah.lee,192.168.1.50,PASSWORD,SUCCESS,14400,0,NORMAL,LOW,Windows,Office
2024-03-03 08:10:00,vpn-gateway,vpn_user1,185.220.101.5,CERTIFICATE,SUCCESS,3600,0,ANOMALY,MEDIUM,Linux,TorExit
2024-03-03 08:11:30,admin-panel,admin,5.188.86.172,PASSWORD,FAILURE,0,1,BRUTE_FORCE,MEDIUM,Linux,Unknown
2024-03-03 08:11:35,admin-panel,admin,5.188.86.172,PASSWORD,FAILURE,0,2,BRUTE_FORCE,MEDIUM,Linux,Unknown
2024-03-03 08:11:40,admin-panel,admin,5.188.86.172,PASSWORD,FAILURE,0,3,BRUTE_FORCE,HIGH,Linux,Unknown
2024-03-03 08:12:00,backup-server-01,backup_svc,192.168.3.5,SSH_KEY,SUCCESS,1200,0,NORMAL,LOW,Linux,Office
2024-03-03 08:13:00,web-server-01,deploy_bot,10.0.0.25,TOKEN,SUCCESS,600,0,NORMAL,LOW,Linux,CI_CD
2024-03-03 08:14:30,win-dc-01,administrator,198.51.100.20,PASSWORD,FAILURE,0,1,UNAUTHORIZED_ACCESS,HIGH,Windows,Unknown
2024-03-03 08:14:35,win-dc-01,administrator,198.51.100.20,PASSWORD,FAILURE,0,2,UNAUTHORIZED_ACCESS,HIGH,Windows,Unknown
2024-03-03 08:15:00,app-server-02,api_service,192.168.4.5,TOKEN,SUCCESS,86400,0,NORMAL,LOW,Linux,Office
2024-03-03 08:16:00,web-server-03,ghost_user,192.168.1.1,PASSWORD,SUCCESS,0,0,ANOMALY,CRITICAL,Linux,Office
2024-03-03 08:17:30,monitor-server,nagios,10.0.0.30,SSH_KEY,SUCCESS,300,0,NORMAL,LOW,Linux,Office
2024-03-03 08:18:00,win-workstation-20,bob.wilson,192.168.1.60,KERBEROS,SUCCESS,28800,0,NORMAL,LOW,Windows,Office
2024-03-03 08:19:00,vpn-gateway,vpn_user2,77.88.55.80,CERTIFICATE,FAILURE,0,1,ANOMALY,MEDIUM,Linux,Unknown
2024-03-03 08:20:00,api-gateway-01,service_acct,10.0.0.35,TOKEN,SUCCESS,3600,0,NORMAL,LOW,Linux,Office
2024-03-03 08:21:00,db-server-01,root,192.168.1.70,PASSWORD,SUCCESS,0,0,PRIVILEGE_ESCALATION,CRITICAL,Linux,Office
2024-03-03 08:22:30,win-workstation-08,alice.chen,192.168.1.80,PASSWORD,SUCCESS,14400,0,NORMAL,LOW,Windows,Office
2024-03-03 08:23:00,web-server-04,www-data,10.10.10.10,SSH_KEY,SUCCESS,7200,0,NORMAL,LOW,Linux,Office
2024-03-03 08:24:00,jump-server-01,devops,91.108.4.10,PASSWORD,SUCCESS,1800,0,ANOMALY,HIGH,Linux,Unknown
2024-03-03 08:25:00,app-server-03,celery_worker,192.168.5.5,TOKEN,SUCCESS,86400,0,NORMAL,LOW,Linux,Office
2024-03-03 08:26:00,win-workstation-15,charlie.brown,192.168.1.90,KERBEROS,FAILURE,0,1,ANOMALY,MEDIUM,Windows,Office
2024-03-03 08:27:30,storage-server-01,nfs_client,192.168.2.10,KERBEROS,SUCCESS,86400,0,NORMAL,LOW,Linux,Office
2024-03-03 08:28:00,admin-panel,sysadmin,192.168.6.5,PASSWORD,SUCCESS,3600,0,NORMAL,LOW,Linux,Office
2024-03-03 08:29:00,web-server-01,tomcat,203.0.113.50,PASSWORD,SUCCESS,1800,0,ANOMALY,HIGH,Linux,Unknown
2024-03-03 08:30:00,win-dc-02,krbtgt,10.10.10.15,KERBEROS,SUCCESS,600,0,PRIVILEGE_ESCALATION,CRITICAL,Windows,Internal
2024-03-03 08:31:00,cache-server-01,redis,192.168.3.10,TOKEN,SUCCESS,86400,0,NORMAL,LOW,Linux,Office
